anio,mes,lpei,lpi,desagregacion
1992,Ene,115.02,215.1,Rural
1992,Ene,173.22,361.34,Urbano
1992,Feb,115.82,216.8,Rural
1992,Feb,174.61,364.04,Urbano
1992,Mar,117.33,218.9,Rural
1992,Mar,176.26,366.55,Urbano
1992,Abr,118.9,220.8,Rural
1992,Abr,177.96,368.74,Urbano
1992,May,117.39,220.06,Rural
1992,May,177.16,369.09,Urbano
1992,Jun,117.56,221.11,Rural
1992,Jun,177.65,370.95,Urbano
1992,Jul,117.34,221.61,Rural
1992,Jul,177.47,371.86,Urbano
1992,Ago,116.22,221.35,Rural
1992,Ago,176.77,372.68,Urbano
1992,Sep,116.13,223.68,Rural
1992,Sep,176.78,378.03,Urbano
1992,Oct,116.92,225.59,Rural
1992,Oct,177.45,380.61,Urbano
1992,Nov,118.83,228.52,Rural
1992,Nov,179.17,384.04,Urbano
1992,Dic,123.68,234.54,Rural
1992,Dic,184.09,391.17,Urbano
1993,Ene,126.52,239.36,Rural
1993,Ene,187.69,399.95,Urbano
1993,Feb,126.05,239.62,Rural
1993,Feb,187.9,401.4,Urbano
1993,Mar,123.62,238.06,Rural
1993,Mar,186.15,401.02,Urbano
1993,Abr,121.94,236.63,Rural
1993,Abr,184.75,399.92,Urbano
1993,May,122.97,237.93,Rural
1993,May,185.92,401.49,Urbano
1993,Jun,123.81,239.46,Rural
1993,Jun,186.6,403.33,Urbano
1993,Jul,123.67,239.86,Rural
1993,Jul,186.33,403.83,Urbano
1993,Ago,123.18,240.07,Rural
1993,Ago,186.43,405.22,Urbano
1993,Sep,124.25,243.2,Rural
1993,Sep,187.39,410.63,Urbano
1993,Oct,123.87,243.92,Rural
1993,Oct,187.08,412.15,Urbano
1993,Nov,124.51,245.43,Rural
1993,Nov,187.8,414.33,Urbano
1993,Dic,127.69,249.13,Rural
1993,Dic,190.81,418.25,Urbano
1994,Ene,129.22,251.25,Rural
1994,Ene,192.92,421.58,Urbano
1994,Feb,127.28,250.48,Rural
1994,Feb,190.89,421.86,Urbano
1994,Mar,126.39,250.59,Rural
1994,Mar,190.33,423.37,Urbano
1994,Abr,125.71,250.18,Rural
1994,Abr,189.8,423.14,Urbano
1994,May,125.71,250.49,Rural
1994,May,189.63,423.36,Urbano
1994,Jun,126.34,251.86,Rural
1994,Jun,190.36,425.22,Urbano
1994,Jul,127.38,253.26,Rural
1994,Jul,191.61,426.96,Urbano
1994,Ago,127.75,254.29,Rural
1994,Ago,192.13,428.69,Urbano
1994,Sep,128.01,256,Rural
1994,Sep,192.44,432.42,Urbano
1994,Oct,128,257.01,Rural
1994,Oct,192.75,434.43,Urbano
1994,Nov,129.09,259.01,Rural
1994,Nov,193.9,437.01,Urbano
1994,Dic,131.02,261.81,Rural
1994,Dic,195.98,440.35,Urbano
1995,Ene,135.76,269.44,Rural
1995,Ene,203.09,452.04,Urbano
1995,Feb,140.67,280.14,Rural
1995,Feb,211.34,469.04,Urbano
1995,Mar,146.48,296.18,Rural
1995,Mar,220.15,496.6,Urbano
1995,Abr,154.81,316.42,Rural
1995,Abr,231.39,527.49,Urbano
1995,May,162.52,329.03,Rural
1995,May,241.3,544.78,Urbano
1995,Jun,169.3,340.35,Rural
1995,Jun,250.13,560.92,Urbano
1995,Jul,173.41,347.32,Rural
1995,Jul,255.66,571.13,Urbano
1995,Ago,174.8,351.86,Rural
1995,Ago,257.85,578.79,Urbano
1995,Sep,176.79,358.65,Rural
1995,Sep,261.36,591.37,Urbano
1995,Oct,180.88,366.33,Rural
1995,Oct,266.37,602.29,Urbano
1995,Nov,188.44,378.13,Rural
1995,Nov,275.72,618.1,Urbano
1995,Dic,197.55,393.84,Rural
1995,Dic,287.41,641.34,Urbano
1996,Ene,205.8,411.05,Rural
1996,Ene,299.26,672.2,Urbano
1996,Feb,210.92,419.93,Rural
1996,Feb,306.84,686.54,Urbano
1996,Mar,215.13,428.2,Rural
1996,Mar,312.63,699.26,Urbano
1996,Abr,222.31,438.69,Rural
1996,Abr,321.73,713.82,Urbano
1996,May,229.08,447.94,Rural
1996,May,330.76,727.96,Urbano
1996,Jun,233.7,456.61,Rural
1996,Jun,337.12,741.91,Urbano
1996,Jul,236.79,462.79,Rural
1996,Jul,341.73,751.8,Urbano
1996,Ago,239.01,468.79,Rural
1996,Ago,345.35,761.96,Urbano
1996,Sep,243.22,478.05,Rural
1996,Sep,350.88,777.17,Urbano
1996,Oct,246.87,485.84,Rural
1996,Oct,355.94,790.37,Urbano
1996,Nov,251.16,494.8,Rural
1996,Nov,360.74,802.83,Urbano
1996,Dic,257.87,510.96,Rural
1996,Dic,370.18,828.9,Urbano
1997,Ene,267.35,524.93,Rural
1997,Ene,382.52,847.6,Urbano
1997,Feb,268.85,530.75,Rural
1997,Feb,386.57,859.78,Urbano
1997,Mar,269.14,534.56,Rural
1997,Mar,388.26,867.81,Urbano
1997,Abr,271.48,539.25,Rural
1997,Abr,391.94,875.86,Urbano
1997,May,272.71,542.5,Rural
1997,May,394.03,882.9,Urbano
1997,Jun,273.67,546.4,Rural
1997,Jun,396.4,890.78,Urbano
1997,Jul,277.04,552.47,Rural
1997,Jul,400.81,899.96,Urbano
1997,Ago,279.72,558.23,Rural
1997,Ago,404.46,909.37,Urbano
1997,Sep,282.61,566.3,Rural
1997,Sep,408.01,924.01,Urbano
1997,Oct,282.75,569.99,Rural
1997,Oct,409.66,932.29,Urbano
1997,Nov,285.1,576.9,Rural
1997,Nov,413.07,943.96,Urbano
1997,Dic,290.37,586.14,Rural
1997,Dic,419.42,957.14,Urbano
1998,Ene,298.59,599.91,Rural
1998,Ene,431.42,979.61,Urbano
1998,Feb,308.83,614.7,Rural
1998,Feb,444.25,1000.69,Urbano
1998,Mar,313.39,622.59,Rural
1998,Mar,449.84,1012.2,Urbano
1998,Abr,313.79,625.97,Rural
1998,Abr,451.74,1019.08,Urbano
1998,May,313.46,626.09,Rural
1998,May,452.69,1020.66,Urbano
1998,Jun,315.25,630.58,Rural
1998,Jun,454.67,1027.13,Urbano
1998,Jul,320.21,638.17,Rural
1998,Jul,459.67,1036,Urbano
1998,Ago,324.58,646.08,Rural
1998,Ago,466.29,1048.7,Urbano
1998,Sep,329.64,658.15,Rural
1998,Sep,473.62,1069.32,Urbano
1998,Oct,336.43,669.06,Rural
1998,Oct,482.1,1084.33,Urbano
1998,Nov,341.84,681.09,Rural
1998,Nov,488.72,1101.47,Urbano
1998,Dic,355.92,702.66,Rural
1998,Dic,504.74,1129.81,Urbano
1999,Ene,371.69,724.47,Rural
1999,Ene,521.74,1156.23,Urbano
1999,Feb,370.69,729.27,Rural
1999,Feb,523.67,1167.31,Urbano
1999,Mar,365.76,730.35,Rural
1999,Mar,521.69,1176.68,Urbano
1999,Abr,364.18,732.75,Rural
1999,Abr,521.71,1184.03,Urbano
1999,May,364.36,733.3,Rural
1999,May,523.17,1185.32,Urbano
1999,Jun,364.52,736.62,Rural
1999,Jun,524.65,1191.74,Urbano
1999,Jul,366.09,740.9,Rural
1999,Jul,527.36,1199.65,Urbano
1999,Ago,366.5,744.74,Rural
1999,Ago,529.27,1207.31,Urbano
1999,Sep,366.46,751.78,Rural
1999,Sep,530.06,1222.19,Urbano
1999,Oct,366.99,755.85,Rural
1999,Oct,531.88,1229.55,Urbano
1999,Nov,367.96,763.62,Rural
1999,Nov,533.19,1242.18,Urbano
1999,Dic,375.36,774.23,Rural
1999,Dic,541.49,1255.17,Urbano
2000,Ene,381.04,784.45,Rural
2000,Ene,548.38,1270.06,Urbano
2000,Feb,380.18,788.16,Rural
2000,Feb,549.04,1278.8,Urbano
2000,Mar,379.27,790.26,Rural
2000,Mar,548.83,1283.36,Urbano
2000,Abr,379.28,791.41,Rural
2000,Abr,548.28,1284.62,Urbano
2000,May,382.7,793.46,Rural
2000,May,552.53,1286.05,Urbano
2000,Jun,388.1,800.18,Rural
2000,Jun,558.33,1294.14,Urbano
2000,Jul,391.57,805.4,Rural
2000,Jul,562.52,1300.95,Urbano
2000,Ago,393.27,809.76,Rural
2000,Ago,565.95,1309.53,Urbano
2000,Sep,392.37,813.91,Rural
2000,Sep,566.07,1319.82,Urbano
2000,Oct,395.38,820.88,Rural
2000,Oct,569.2,1332.1,Urbano
2000,Nov,397.85,829.59,Rural
2000,Nov,572.81,1345.88,Urbano
2000,Dic,409.56,843.94,Rural
2000,Dic,585.14,1362.34,Urbano
2001,Ene,408.69,845.5,Rural
2001,Ene,585.65,1367.24,Urbano
2001,Feb,396.67,836.84,Rural
2001,Feb,575.46,1362.95,Urbano
2001,Mar,398.7,841.73,Rural
2001,Mar,578.13,1372.54,Urbano
2001,Abr,401.95,845.03,Rural
2001,Abr,581.86,1376.45,Urbano
2001,May,404.82,845.15,Rural
2001,May,584.85,1374.52,Urbano
2001,Jun,405.31,846.93,Rural
2001,Jun,585.88,1377.85,Urbano
2001,Jul,403.98,844.86,Rural
2001,Jul,585.51,1376.29,Urbano
2001,Ago,411.14,853.53,Rural
2001,Ago,593.48,1387.49,Urbano
2001,Sep,413.89,862.08,Rural
2001,Sep,596.4,1402.83,Urbano
2001,Oct,418.79,868.13,Rural
2001,Oct,601.03,1409.92,Urbano
2001,Nov,419.8,874.2,Rural
2001,Nov,602.11,1419.72,Urbano
2001,Dic,422.23,877.54,Rural
2001,Dic,606.56,1425.56,Urbano
2002,Ene,428.39,888.32,Rural
2002,Ene,614.93,1443.66,Urbano
2002,Feb,414.18,880.77,Rural
2002,Feb,603.56,1444.33,Urbano
2002,Mar,414.09,883.18,Rural
2002,Mar,604.07,1449.54,Urbano
2002,Abr,419.59,889.74,Rural
2002,Abr,610.28,1457.08,Urbano
2002,May,422.95,889.9,Rural
2002,May,613.27,1454.15,Urbano
2002,Jun,427.64,895.4,Rural
2002,Jun,618.29,1460.62,Urbano
2002,Jul,431.75,899.41,Rural
2002,Jul,622.84,1464.96,Urbano
2002,Ago,431.32,900.93,Rural
2002,Ago,623.42,1469.27,Urbano
2002,Sep,430.13,904.47,Rural
2002,Sep,623.05,1478.84,Urbano
2002,Oct,429.77,906.97,Rural
2002,Oct,622.91,1483.59,Urbano
2002,Nov,435.1,917.79,Rural
2002,Nov,629.43,1500.06,Urbano
2002,Dic,447.07,930.95,Rural
2002,Dic,641.2,1513.61,Urbano
2003,Ene,445.86,931.89,Rural
2003,Ene,641.13,1517.08,Urbano
2003,Feb,441.5,929.21,Rural
2003,Feb,638.66,1517.91,Urbano
2003,Mar,452.09,941.6,Rural
2003,Mar,650.18,1532.24,Urbano
2003,Abr,445.04,934.68,Rural
2003,Abr,644.51,1526.62,Urbano
2003,May,445.49,930.63,Rural
2003,May,644.78,1518.27,Urbano
2003,Jun,445.68,931.28,Rural
2003,Jun,644.51,1518.75,Urbano
2003,Jul,451.53,937.1,Rural
2003,Jul,650.14,1524.14,Urbano
2003,Ago,448.97,936.23,Rural
2003,Ago,647.8,1525.64,Urbano
2003,Sep,452.6,943.26,Rural
2003,Sep,651.56,1536.18,Urbano
2003,Oct,454.28,946.94,Rural
2003,Oct,653.09,1541.07,Urbano
2003,Nov,459.95,960.13,Rural
2003,Nov,659.92,1561.4,Urbano
2003,Dic,472.07,972.68,Rural
2003,Dic,673.53,1575.6,Urbano
2004,Ene,471.34,975.34,Rural
2004,Ene,675.75,1583.22,Urbano
2004,Feb,466.25,973.38,Rural
2004,Feb,672.79,1585.82,Urbano
2004,Mar,466.06,974.91,Rural
2004,Mar,673.57,1589.45,Urbano
2004,Abr,470.35,979.91,Rural
2004,Abr,678.03,1595.04,Urbano
2004,May,472.93,978.05,Rural
2004,May,681.5,1590.07,Urbano
2004,Jun,466.3,972.62,Rural
2004,Jun,675.78,1586.48,Urbano
2004,Jul,468.88,976.32,Rural
2004,Jul,678.9,1591.41,Urbano
2004,Ago,479.75,989.08,Rural
2004,Ago,690.7,1606.94,Urbano
2004,Sep,495.66,1008.99,Rural
2004,Sep,708.54,1632.79,Urbano
2004,Oct,513.74,1029.49,Rural
2004,Oct,727.72,1655.98,Urbano
2004,Nov,521.48,1044.56,Rural
2004,Nov,735.85,1677.04,Urbano
2004,Dic,514.85,1039.51,Rural
2004,Dic,731.26,1674.68,Urbano
2005,Ene,492.66,1019.56,Rural
2005,Ene,711.47,1658.58,Urbano
2005,Feb,488.99,1017.21,Rural
2005,Feb,708.65,1657.55,Urbano
2005,Mar,496.68,1026.51,Rural
2005,Mar,717.49,1668.71,Urbano
2005,Abr,517.03,1046.21,Rural
2005,Abr,737.7,1687.49,Urbano
2005,May,528.93,1051.43,Rural
2005,May,749.96,1687.19,Urbano
2005,Jun,514.19,1038.15,Rural
2005,Jun,736.8,1676.35,Urbano
2005,Jul,519,1043.45,Rural
2005,Jul,741.45,1681.75,Urbano
2005,Ago,516.17,1042.25,Rural
2005,Ago,739.63,1683.12,Urbano
2005,Sep,515.36,1045.52,Rural
2005,Sep,740.03,1691.47,Urbano
2005,Oct,509.45,1042.92,Rural
2005,Oct,735.22,1692.24,Urbano
2005,Nov,502.03,1045.28,Rural
2005,Nov,728.94,1703.57,Urbano
2005,Dic,518.62,1063.83,Rural
2005,Dic,745.27,1723.05,Urbano
2006,Ene,531.48,1078.76,Rural
2006,Ene,758.61,1739.79,Urbano
2006,Feb,530.01,1077.6,Rural
2006,Feb,757.38,1739.26,Urbano
2006,Mar,518.11,1067.22,Rural
2006,Mar,746.74,1731.08,Urbano
2006,Abr,517.3,1065.59,Rural
2006,Abr,746.67,1729.13,Urbano
2006,May,521.84,1062.46,Rural
2006,May,751.77,1720.37,Urbano
2006,Jun,515.17,1057.04,Rural
2006,Jun,747.2,1717.91,Urbano
2006,Jul,515.42,1058.27,Rural
2006,Jul,748.01,1720.28,Urbano
2006,Ago,525.95,1070.57,Rural
2006,Ago,757.08,1732.59,Urbano
2006,Sep,558.69,1106.4,Rural
2006,Sep,787.61,1769.3,Urbano
2006,Oct,569.85,1120.7,Rural
2006,Oct,798.96,1785.81,Urbano
2006,Nov,556.39,1116.15,Rural
2006,Nov,788.96,1792.09,Urbano
2006,Dic,570.83,1132.23,Rural
2006,Dic,805.37,1810.6,Urbano
2007,Ene,578.43,1141.56,Rural
2007,Ene,814.85,1823.01,Urbano
2007,Feb,575.02,1139.31,Rural
2007,Feb,813.7,1823.9,Urbano
2007,Mar,575.98,1141.07,Rural
2007,Mar,815.57,1827.05,Urbano
