anio,mes,lpei,lpi,desagregacion
2007,Abr,580.32,1142.7,Rural
2007,Abr,820.73,1826.77,Urbano
2007,May,560.11,1117.14,Rural
2007,May,799.93,1796.02,Urbano
2007,Jun,550.67,1108.69,Rural
2007,Jun,791.08,1788.72,Urbano
2007,Jul,559.13,1117.98,Rural
2007,Jul,800.83,1799.87,Urbano
2007,Ago,563.92,1124.76,Rural
2007,Ago,807.18,1810.13,Urbano
2007,Sep,580.03,1143.92,Rural
2007,Sep,824.35,1833.45,Urbano
2007,Oct,577.11,1145.68,Rural
2007,Oct,823.38,1840.77,Urbano
2007,Nov,580.11,1155.31,Rural
2007,Nov,827.51,1855.61,Urbano
2007,Dic,591.07,1168.35,Rural
2007,Dic,840.67,1870.84,Urbano
2008,Ene,590.48,1170.24,Rural
2008,Ene,842.07,1876.92,Urbano
2008,Feb,578.44,1160.6,Rural
2008,Feb,832.5,1871.4,Urbano
2008,Mar,588.81,1174.44,Rural
2008,Mar,842.96,1887.28,Urbano
2008,Abr,600,1183.69,Rural
2008,Abr,855.63,1895.67,Urbano
2008,May,601.47,1180.77,Rural
2008,May,858.58,1889.87,Urbano
2008,Jun,602.37,1184.25,Rural
2008,Jun,860.51,1896.51,Urbano
2008,Jul,610.52,1195.01,Rural
2008,Jul,869.68,1910.08,Urbano
2008,Ago,613.9,1203.51,Rural
2008,Ago,874.72,1923.97,Urbano
2008,Sep,619.58,1215.34,Rural
2008,Sep,882.16,1942.2,Urbano
2008,Oct,626.8,1228.35,Rural
2008,Oct,890.54,1960.13,Urbano
2008,Nov,641.02,1251.43,Rural
2008,Nov,908.25,1993.2,Urbano
2008,Dic,653.78,1266.69,Rural
2008,Dic,921.47,2009.13,Urbano
2009,Ene,648.21,1262.25,Rural
2009,Ene,918.91,2008.11,Urbano
2009,Feb,642.71,1258.78,Rural
2009,Feb,915.41,2007.88,Urbano
2009,Mar,656.2,1274.36,Rural
2009,Mar,931.68,2027.2,Urbano
2009,Abr,672.9,1289.98,Rural
2009,Abr,948.41,2041.74,Urbano
2009,May,672.76,1283.69,Rural
2009,May,949.64,2030.64,Urbano
2009,Jun,673.27,1284.85,Rural
2009,Jun,951.48,2033.19,Urbano
2009,Jul,677.16,1289.68,Rural
2009,Jul,957.08,2039.42,Urbano
2009,Ago,682.82,1298.47,Rural
2009,Ago,964.68,2051,Urbano
2009,Sep,699.29,1317.41,Rural
2009,Sep,981.05,2071.89,Urbano
2009,Oct,691.78,1315.02,Rural
2009,Oct,974.77,2075.76,Urbano
2009,Nov,683.98,1315.26,Rural
2009,Nov,967.3,2082.23,Urbano
2009,Dic,682.5,1315.42,Rural
2009,Dic,964.64,2080.79,Urbano
2010,Ene,692.66,1337.05,Rural
2010,Ene,977.94,2118.05,Urbano
2010,Feb,697.37,1346.19,Rural
2010,Feb,985.58,2134.1,Urbano
2010,Mar,725.49,1377.21,Rural
2010,Mar,1014.53,2167.77,Urbano
2010,Abr,717.18,1367.02,Rural
2010,Abr,1007.41,2156.26,Urbano
2010,May,692.92,1335.44,Rural
2010,May,984.75,2120.23,Urbano
2010,Jun,677.47,1320.93,Rural
2010,Jun,969.96,2107.05,Urbano
2010,Jul,680.2,1324.27,Rural
2010,Jul,973.66,2111.17,Urbano
2010,Ago,683.71,1330.47,Rural
2010,Ago,978.3,2120.62,Urbano
2010,Sep,691.06,1341.64,Rural
2010,Sep,986.49,2136.46,Urbano
2010,Oct,699.65,1356,Rural
2010,Oct,996.04,2155.07,Urbano
2010,Nov,704.72,1369.38,Rural
2010,Nov,1002.59,2176.45,Urbano
2010,Dic,712.77,1378.05,Rural
2010,Dic,1012.12,2185.79,Urbano
2011,Ene,717.07,1385.6,Rural
2011,Ene,1020.05,2199.43,Urbano
2011,Feb,720.92,1392.35,Rural
2011,Feb,1025,2210.17,Urbano
2011,Mar,714.22,1386.9,Rural
2011,Mar,1019.44,2205.74,Urbano
2011,Abr,736.83,1403.67,Rural
2011,Abr,1039.56,2211.46,Urbano
2011,May,715.66,1374.9,Rural
2011,May,1020.82,2178.73,Urbano
2011,Jun,701,1361.8,Rural
2011,Jun,1006.51,2166.45,Urbano
2011,Jul,712.39,1373.91,Rural
2011,Jul,1018.1,2178.79,Urbano
2011,Ago,715.07,1378.14,Rural
2011,Ago,1021.22,2184.74,Urbano
2011,Sep,723.32,1389.76,Rural
2011,Sep,1030.2,2199.52,Urbano
2011,Oct,728.83,1401.84,Rural
2011,Oct,1034.99,2215.96,Urbano
2011,Nov,736.75,1420.86,Rural
2011,Nov,1045.44,2247.05,Urbano
2011,Dic,755.71,1443.48,Rural
2011,Dic,1067.22,2272.92,Urbano
2012,Ene,768.4,1459.17,Rural
2012,Ene,1079.97,2290.59,Urbano
2012,Feb,762.66,1456.17,Rural
2012,Feb,1077.31,2292.31,Urbano
2012,Mar,765.11,1459.49,Rural
2012,Mar,1081.16,2296.45,Urbano
2012,Abr,763.61,1453.44,Rural
2012,Abr,1082.04,2287.43,Urbano
2012,May,766.38,1448.31,Rural
2012,May,1083.63,2274.53,Urbano
2012,Jun,782.8,1466.08,Rural
2012,Jun,1101.39,2292.92,Urbano
2012,Jul,798.5,1483.64,Rural
2012,Jul,1120.09,2313.98,Urbano
2012,Ago,800.21,1488.52,Rural
2012,Ago,1125.39,2324.71,Urbano
2012,Sep,818.44,1508.73,Rural
2012,Sep,1144.79,2346.22,Urbano
2012,Oct,820.33,1515.31,Rural
2012,Oct,1147.95,2357.17,Urbano
2012,Nov,816.86,1521.39,Rural
2012,Nov,1148.68,2371.14,Urbano
2012,Dic,823.97,1529.28,Rural
2012,Dic,1158.62,2377.86,Urbano
2013,Ene,824.58,1533.3,Rural
2013,Ene,1161.39,2389.8,Urbano
2013,Feb,823.04,1536.24,Rural
2013,Feb,1160.17,2401.18,Urbano
2013,Mar,838.21,1553.28,Rural
2013,Mar,1177.08,2421.65,Urbano
2013,Abr,839.88,1552.7,Rural
2013,Abr,1179.95,2419.5,Urbano
2013,May,839.38,1544.37,Rural
2013,May,1179.34,2404.41,Urbano
2013,Jun,832.28,1538.86,Rural
2013,Jun,1172.9,2400.28,Urbano
2013,Jul,825.42,1532.71,Rural
2013,Jul,1167.99,2395.4,Urbano
2013,Ago,834.51,1544.14,Rural
2013,Ago,1179.22,2410.47,Urbano
2013,Sep,840.17,1553.58,Rural
2013,Sep,1186.75,2425.37,Urbano
2013,Oct,838.49,1559.72,Rural
2013,Oct,1186.51,2439.88,Urbano
2013,Nov,854.72,1586.74,Rural
2013,Nov,1202.82,2476.36,Urbano
2013,Dic,867.96,1610.1,Rural
2013,Dic,1216.64,2508.44,Urbano
2014,Ene,868.2,1621.23,Rural
2014,Ene,1227.36,2539.77,Urbano
2014,Feb,869.49,1624.45,Rural
2014,Feb,1234.29,2550.63,Urbano
2014,Mar,874.74,1631.47,Rural
2014,Mar,1242.75,2561.72,Urbano
2014,Abr,857.03,1607.2,Rural
2014,Abr,1224.96,2531.19,Urbano
2014,May,851.72,1591.62,Rural
2014,May,1220.21,2506.61,Urbano
2014,Jun,853.47,1594.76,Rural
2014,Jun,1225.09,2513.73,Urbano
2014,Jul,859.97,1602.09,Rural
2014,Jul,1231.87,2521.56,Urbano
2014,Ago,868.17,1613,Rural
2014,Ago,1242.57,2537.05,Urbano
2014,Sep,881.32,1629.6,Rural
2014,Sep,1257.04,2557.57,Urbano
2014,Oct,887.17,1643.69,Rural
2014,Oct,1264.87,2579.54,Urbano
2014,Nov,895.81,1664.62,Rural
2014,Nov,1272.9,2609.81,Urbano
2014,Dic,914.81,1684.59,Rural
2014,Dic,1291.89,2628.71,Urbano
2015,Ene,897.22,1667.44,Rural
2015,Ene,1265.8,2601.75,Urbano
2015,Feb,887.54,1661.31,Rural
2015,Feb,1256.65,2599.15,Urbano
2015,Mar,903.75,1679.15,Rural
2015,Mar,1271.15,2615.93,Urbano
2015,Abr,907.25,1676.72,Rural
2015,Abr,1273.13,2606.09,Urbano
2015,May,897.98,1656.97,Rural
2015,May,1264.49,2577.9,Urbano
2015,Jun,898.78,1658.29,Rural
2015,Jun,1267.7,2582.08,Urbano
2015,Jul,906.17,1665.91,Rural
2015,Jul,1275.89,2590.06,Urbano
2015,Ago,910.41,1673.27,Rural
2015,Ago,1281.34,2601.24,Urbano
2015,Sep,917.55,1685.13,Rural
2015,Sep,1290.3,2618.63,Urbano
2015,Oct,920.28,1696.86,Rural
2015,Oct,1295.05,2639.25,Urbano
2015,Nov,920.66,1707.72,Rural
2015,Nov,1297.64,2658.66,Urbano
2015,Dic,938.02,1725.73,Rural
2015,Dic,1315.08,2675.69,Urbano
2016,Ene,956.15,1745.8,Rural
2016,Ene,1333.7,2698.02,Urbano
2016,Feb,963.17,1756.48,Rural
2016,Feb,1343.28,2713.21,Urbano
2016,Mar,959.79,1754.13,Rural
2016,Mar,1338.93,2710.51,Urbano
2016,Abr,955.44,1739.66,Rural
2016,Abr,1335.18,2686.25,Urbano
2016,May,948,1719,Rural
2016,May,1330.28,2655.57,Urbano
2016,Jun,937.94,1709.55,Rural
2016,Jun,1322.62,2648.46,Urbano
2016,Jul,935.63,1714.36,Rural
2016,Jul,1321.24,2661.98,Urbano
2016,Ago,933.23,1713.59,Rural
2016,Ago,1310.99,2654.43,Urbano
2016,Sep,959.58,1742.99,Rural
2016,Sep,1339.41,2688.91,Urbano
2016,Oct,963.1,1755.34,Rural
2016,Oct,1346.44,2711.65,Urbano
2016,Nov,969.43,1773.44,Rural
2016,Nov,1355.67,2742.5,Urbano
2016,Dic,979.31,1784.93,Rural
2016,Dic,1369.61,2758.65,Urbano
2017,Ene,975.53,1793.49,Rural
2017,Ene,1371.59,2780.74,Urbano
2017,Feb,970.38,1795.55,Rural
2017,Feb,1373.02,2794.07,Urbano
2017,Mar,981.54,1811.21,Rural
2017,Mar,1386.04,2814.03,Urbano
2017,Abr,994.76,1818.88,Rural
2017,Abr,1400.22,2816.81,Urbano
2017,May,1002.86,1820.98,Rural
2017,May,1408.22,2811.57,Urbano
2017,Jun,1014.02,1833.68,Rural
2017,Jun,1422.19,2828.43,Urbano
2017,Jul,1035.49,1854.39,Rural
2017,Jul,1446.47,2851.85,Urbano
2017,Ago,1060.18,1883.94,Rural
2017,Ago,1477.29,2891.2,Urbano
2017,Sep,1064.12,1886.53,Rural
2017,Sep,1485.19,2893.35,Urbano
2017,Oct,1045.63,1889.19,Rural
2017,Oct,1469.71,2918.98,Urbano
2017,Nov,1052.3,1912.43,Rural
2017,Nov,1475.85,2953.85,Urbano
2017,Dic,1066.58,1930.8,Rural
2017,Dic,1491.59,2974.8,Urbano
2018,Ene,1061.31,1930.78,Rural
2018,Ene,1490.78,2983.18,Urbano
2018,Feb,1041.84,1912.76,Rural
2018,Feb,1472.86,2968.67,Urbano
2018,Mar,1054.54,1926.42,Rural
2018,Mar,1482.75,2979.64,Urbano
2018,Abr,1052.93,1916.61,Rural
2018,Abr,1482.46,2963.54,Urbano
2018,May,1042.39,1899.9,Rural
2018,May,1472.62,2940.68,Urbano
2018,Jun,1043.41,1905.82,Rural
2018,Jun,1476.86,2952.52,Urbano
2018,Jul,1053.28,1916.69,Rural
2018,Jul,1492.26,2969.47,Urbano
2018,Ago,1073.69,1941.01,Rural
2018,Ago,1516.62,3001.17,Urbano
2018,Sep,1077.65,1952.12,Rural
2018,Sep,1522.46,3019.67,Urbano
2018,Oct,1072.36,1956.34,Rural
2018,Oct,1513.59,3027.3,Urbano
2018,Nov,1090.17,1983.75,Rural
2018,Nov,1530.56,3061.77,Urbano
2018,Dic,1113.23,2008.71,Rural
2018,Dic,1556.24,3089.37,Urbano
2019,Ene,1120.44,2017.35,Rural
2019,Ene,1568.07,3103.77,Urbano
2019,Feb,1103.01,2002.96,Rural
2019,Feb,1554.12,3095.54,Urbano
2019,Mar,1110.5,2012.94,Rural
2019,Mar,1562.72,3108.18,Urbano
2019,Abr,1117.4,2014.72,Rural
2019,Abr,1569.36,3104.57,Urbano
2019,May,1109.52,1997.4,Rural
2019,May,1562.26,3079.62,Urbano
2019,Jun,1100.29,1986.48,Rural
2019,Jun,1552.41,3067.01,Urbano
2019,Jul,1117.09,2003.22,Rural
2019,Jul,1568.96,3083.19,Urbano
2019,Ago,1105.87,1995.63,Rural
2019,Ago,1560.18,3081.1,Urbano
2019,Sep,1105.39,1999.84,Rural
2019,Sep,1561.33,3091.84,Urbano
2019,Oct,1105.8,2010.91,Rural
2019,Oct,1561.59,3111.36,Urbano
2019,Nov,1117.79,2036.97,Rural
2019,Nov,1576.06,3150.6,Urbano
2019,Dic,1134.64,2056.85,Rural
2019,Dic,1598.52,3176.95,Urbano
2020,Ene,1149.18,2071.9,Rural
2020,Ene,1615.21,3195.43,Urbano
2020,Feb,1157.33,2082.14,Rural
2020,Feb,1623.19,3207.02,Urbano
2020,Mar,1169.89,2097.14,Rural
2020,Mar,1637.07,3224.8,Urbano
2020,Abr,1165.6,2086.67,Rural
2020,Abr,1632.51,3208.36,Urbano
2020,May,1179.75,2089.93,Rural
2020,May,1649.65,3204.16,Urbano
2020,Jun,1170.92,2086.57,Rural
2020,Jun,1640,3202.64,Urbano
2020,Jul,1179.12,2099.47,Rural
2020,Jul,1648.08,3217.82,Urbano
2020,Ago,1192.06,2116.62,Rural
2020,Ago,1661.39,3238.64,Urbano
2020,Sep,1202.05,2130.24,Rural
2020,Sep,1671.38,3255.6,Urbano
2020,Oct,1212.33,2150.24,Rural
2020,Oct,1681.61,3283.33,Urbano
2020,Nov,1206.24,2153.82,Rural
2020,Nov,1676.11,3295.73,Urbano
2020,Dic,1194.31,2148.19,Rural
2020,Dic,1666.24,3295.63,Urbano
2021,Ene,1201.87,2163.04,Rural
2021,Ene,1679.69,3320.86,Urbano
2021,Feb,1200.89,2167.39,Rural
2021,Feb,1681.47,3331.08,Urbano
2021,Mar,1212.69,2186.07,Rural
2021,Mar,1693.38,3353.55,Urbano
2021,Abr,1229.43,2197.84,Rural
2021,Abr,1710.44,3360.44,Urbano
2021,May,1245.71,2203.69,Rural
2021,May,1730.85,3360.93,Urbano
2021,Jun,1256.34,2219.42,Rural
2021,Jun,1745.2,3383.03,Urbano
2021,Jul,1269.08,2238.58,Rural
2021,Jul,1761.23,3408.74,Urbano
2021,Ago,1284,2247.8,Rural
2021,Ago,1780.2,3418.55,Urbano
2021,Sep,1302.45,2274.64,Rural
2021,Sep,1798.53,3451.46,Urbano
2021,Oct,1301.63,2290.26,Rural
2021,Oct,1798.13,3478.97,Urbano
2021,Nov,1330.55,2332.24,Rural
2021,Nov,1824.91,3528.87,Urbano
2021,Dic,1344.94,2343.50,Rural
2021,Dic,1844.32,3542.14,Urbano
